[0.014s] Invoking command in '/home/faraz/arduinobot_ws/build/arduinobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/faraz/arduinobot_ws/install/arduinobot_py_examples:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/faraz/arduinobot_ws/build/arduinobot_description -- -j8 -l8
[0.226s] Invoked command in '/home/faraz/arduinobot_ws/build/arduinobot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/faraz/arduinobot_ws/install/arduinobot_py_examples:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/faraz/arduinobot_ws/build/arduinobot_description -- -j8 -l8
[0.227s] Invoking command in '/home/faraz/arduinobot_ws/build/arduinobot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/faraz/arduinobot_ws/install/arduinobot_py_examples:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/faraz/arduinobot_ws/build/arduinobot_description
[0.234s] -- Install configuration: ""
[0.235s] -- Execute custom install script
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/base_plate.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/basement.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/claw_support.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/forward_drive_arm.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/horizontal_arm.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/left_finger.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/link.STL
[0.236s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/pi_camera.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/plate.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/right_finger.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/round_plate.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/servo_plate.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/triangular_link.STL
[0.237s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/meshes/vertical_drive_arm.STL
[0.238s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/urdf/arduinobot.urdf.xacro
[0.238s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/urdf/arduinobot_gazebo.xacro
[0.238s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/urdf/arduinobot_ros2_control.xacro
[0.238s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/launch/display.launch.py
[0.238s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/launch/gazebo.launch.py
[0.239s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/rviz/display.rviz
[0.239s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/ament_index/resource_index/package_run_dependencies/arduinobot_description
[0.239s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/ament_index/resource_index/parent_prefix_path/arduinobot_description
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/environment/ament_prefix_path.sh
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/environment/ament_prefix_path.dsv
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/environment/path.sh
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/environment/path.dsv
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/local_setup.bash
[0.240s] -- Up-to-date symlink: /home/faraz/arduinobot_ws/install/arduinobot_description/share/arduinobot_description/local_setup.sh
